Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146807,335656445,G,5.3989,-3.08548,3.69005,-2.44956,4.81006,-0.489477,2.2672,1,T,5.2235,-1.24931,1.51427,4.83942,1.96311,1.63422,2.26061,-1,7.82615
146807,335805941,G,28.4924,10.6561,0.10748,26.4243,10.6566,1.63963,0.0100859,1,T,6.05281,1.54408,-0.957299,5.77276,1.81675,1.87314,-0.554983,-1,2.67521
146807,335881333,G,11.4849,4.9427,-0.709684,-10.3421,4.99339,-1.47501,-0.142607,1,G,4.51435,3.1681,2.73413,1.68996,4.18477,0.393595,0.712004,-1,10.5468
146807,335936629,G,31.1806,-19.2414,-6.78293,23.5793,20.402,0.987324,-2.80268,1,T,4.11886,-0.767491,-0.394924,-4.02602,0.863138,-2.2444,-2.66636,-1,20.294
146807,336080605,G,14.0572,7.17845,5.84999,-10.5755,9.26026,-0.978325,0.683783,-1,T,5.28623,-1.16442,0.0801211,5.15468,1.16717,2.19105,3.07289,-1,16.5363
146807,335219702,G,22.3256,-12.1699,-5.83414,-17.7842,13.4961,-1.08922,-2.69457,1,G,9.88966,6.45598,2.46665,7.07319,6.91116,0.897855,0.364957,-1,29.6498
146807,335220230,G,6.85878,-0.212272,-2.00478,-6.55496,2.01599,-1.89511,-1.67629,1,T,4.35785,0.701504,-0.775435,4.22922,1.04566,2.10546,-0.835413,-1,10.6035
146807,335219230,G,10.1219,-5.56768,0.960139,-8.39771,5.64987,-1.18717,2.97082,1,T,6.59709,0.81698,-0.909418,-6.48197,1.2225,-2.37005,-0.838891,1,5.96232
146807,335225006,G,11.3331,-0.0285373,-8.51145,7.48214,8.51149,0.793224,-1.57415,-1,T,5.24972,1.54569,1.4319,-4.80717,2.10701,-1.56288,0.747202,1,14.6769
146807,335247910,G,18.5766,1.25835,-4.99503,-17.8478,5.1511,-1.95602,-1.32401,-1,G,18.0908,16.1338,7.0361,-4.1786,17.6013,-0.235228,0.411243,1,23.5092
146807,335272790,G,7.2639,-6.06209,-1.89793,-3.52164,6.35225,-0.529326,-2.83818,1,G,6.04397,-5.56826,-2.33426,-0.25339,6.03773,-0.0419554,-2.74464,-1,3.11001
146807,335282222,G,9.99021,-4.14977,2.08205,-8.8452,4.64279,-1.40039,2.67656,1,G,7.59595,3.95282,0.52733,-6.46409,3.98784,-1.26003,0.132623,-1,8.2493
146807,335327926,G,10.1915,-9.11556,-4.30342,-1.49743,10.0803,-0.148009,-2.70052,1,T,3.57623,-1.24774,0.842849,3.24207,1.50574,1.5101,2.5475,-1,8.19346
146807,335393102,G,8.13034,4.59986,1.7074,6.48207,4.90652,1.09126,0.355423,1,G,10.3775,-3.67175,-9.25255,-2.93089,9.95447,-0.290334,-1.94857,-1,16.4966
146807,335477974,G,6.67404,5.53576,0.60409,-3.67723,5.56862,-0.619881,0.108695,1,T,3.97522,-2.96426,-2.36879,1.18034,3.79447,0.306258,-2.46739,-1,9.87145
146807,335576942,G,9.48645,0.326703,8.01316,5.06597,8.01982,0.595801,1.53005,-1,T,2.8652,1.22452,0.237876,2.57724,1.24742,1.4728,0.19187,1,4.86402
146807,335687318,G,6.7635,-4.19245,-0.0472977,5.30611,4.19272,1.05727,-3.13031,1,G,23.1423,17.7679,-0.889389,14.8008,17.7902,0.757432,-0.0500141,1,17.4613
146807,335969862,G,47.9844,-6.49614,-6.43445,-47.1051,9.14341,-2.34178,-2.36097,1,T,3.41646,0.117201,-0.793033,-3.3194,0.801646,-2.12829,-1.42407,1,2.54796
146807,335981622,G,10.5351,-5.01003,-2.97248,8.77728,5.82546,1.19848,-2.60611,-1,G,12.1452,-7.13646,-0.393673,9.81889,7.14731,1.12265,-3.08648,1,3.11594
146807,335993254,G,16.0098,-2.58588,5.75877,-14.7123,6.3127,-1.58241,1.99285,1,G,8.23786,-6.52495,4.65125,-1.90841,8.01306,-0.235967,2.5223,-1,10.9693
146807,335404223,G,49.9989,-4.95109,14.4688,47.6027,15.2925,1.85353,1.9005,1,T,4.8346,-1.41958,0.804125,4.54977,1.63151,1.74941,2.62621,1,3.60318
